fight_url,date,fighter_0,fighter_1,round,ssl_0,ssa_0,tdl_0,tda_0,kd_0,ctrl_0,ssl_1,ssa_1,tdl_1,tda_1,kd_1,ctrl_1
http://ufcstats.com/fight-details/7ca4c91bab696b89,2024-09-28,Renato Moicano,Benoit Saint Denis,1,35,40,1,1,0,277,4,5,0,0,0,0
http://ufcstats.com/fight-details/7ca4c91bab696b89,2024-09-28,Renato Moicano,Benoit Saint Denis,2,15,32,0,2,0,16,21,55,0,0,0,5
http://ufcstats.com/fight-details/62ff1e5deb124ff5,2024-09-28,Nassourdine Imavov,Brendan Allen,1,1,3,0,0,0,0,4,5,1,1,0,285
http://ufcstats.com/fight-details/62ff1e5deb124ff5,2024-09-28,Nassourdine Imavov,Brendan Allen,2,23,33,0,0,0,212,8,19,0,3,0,17
http://ufcstats.com/fight-details/62ff1e5deb124ff5,2024-09-28,Nassourdine Imavov,Brendan Allen,3,33,50,0,0,0,135,18,28,0,6,0,64
http://ufcstats.com/fight-details/19706d8ba0edf9cd,2024-09-28,William Gomis,Joanderson Brito,1,9,17,0,2,0,187,9,19,1,2,0,68
http://ufcstats.com/fight-details/19706d8ba0edf9cd,2024-09-28,William Gomis,Joanderson Brito,2,11,20,0,0,0,0,8,21,1,1,0,214
http://ufcstats.com/fight-details/19706d8ba0edf9cd,2024-09-28,William Gomis,Joanderson Brito,3,23,34,0,1,0,45,12,27,1,3,0,118
http://ufcstats.com/fight-details/45f00a42a17f8e2a,2024-09-28,Kevin Jousset,Bryan Battle,1,29,40,0,2,0,12,26,57,0,3,0,174
http://ufcstats.com/fight-details/45f00a42a17f8e2a,2024-09-28,Kevin Jousset,Bryan Battle,2,29,57,0,0,0,0,71,113,0,0,0,37
http://ufcstats.com/fight-details/f114929ed709606e,2024-09-28,Morgan Charriere,Gabriel Miranda,1,16,24,2,2,0,130,10,33,1,4,0,67
http://ufcstats.com/fight-details/f114929ed709606e,2024-09-28,Morgan Charriere,Gabriel Miranda,2,3,4,0,0,1,2,1,5,0,0,0,0
http://ufcstats.com/fight-details/d806aacf5b6ba7f6,2024-09-28,Fares Ziam,Matt Frevola,1,18,29,0,0,0,80,9,22,1,3,0,109
http://ufcstats.com/fight-details/d806aacf5b6ba7f6,2024-09-28,Fares Ziam,Matt Frevola,2,34,55,1,1,0,70,7,32,0,0,0,58
http://ufcstats.com/fight-details/d806aacf5b6ba7f6,2024-09-28,Fares Ziam,Matt Frevola,3,6,10,3,3,1,133,0,5,0,0,0,0
http://ufcstats.com/fight-details/89b772f864acb637,2024-09-28,Ion Cutelaba,Ivan Erslan,1,18,72,0,3,0,25,24,39,0,0,0,0
http://ufcstats.com/fight-details/89b772f864acb637,2024-09-28,Ion Cutelaba,Ivan Erslan,2,24,43,2,5,0,67,14,27,0,1,0,86
http://ufcstats.com/fight-details/89b772f864acb637,2024-09-28,Ion Cutelaba,Ivan Erslan,3,3,5,1,4,0,27,1,3,1,1,0,233
http://ufcstats.com/fight-details/3599e9de4ae0e171,2024-09-28,Oumar Sy,Da Woon Jung,1,23,42,1,4,0,87,14,40,0,0,0,0
http://ufcstats.com/fight-details/3599e9de4ae0e171,2024-09-28,Oumar Sy,Da Woon Jung,2,43,75,0,1,0,4,8,43,0,0,0,6
http://ufcstats.com/fight-details/3599e9de4ae0e171,2024-09-28,Oumar Sy,Da Woon Jung,3,24,33,1,2,0,91,7,34,0,1,0,3
http://ufcstats.com/fight-details/e01019fbfe0e9528,2024-09-28,Ludovit Klein,Roosevelt Roberts,1,18,42,0,1,0,78,12,34,0,2,0,5
http://ufcstats.com/fight-details/e01019fbfe0e9528,2024-09-28,Ludovit Klein,Roosevelt Roberts,2,9,20,0,0,0,287,1,6,0,0,0,0
http://ufcstats.com/fight-details/e01019fbfe0e9528,2024-09-28,Ludovit Klein,Roosevelt Roberts,3,18,33,2,2,0,166,11,20,0,1,0,38
http://ufcstats.com/fight-details/d063d46208c560b1,2024-09-28,Taylor Lapilus,Vince Morales,1,35,81,0,1,0,0,11,45,0,0,0,0
