fighter,cardio_score,late_finish_rate_for,late_finish_rate_against,early_finish_rate_for,early_finish_rate_against,output_drop_per_rd,accuracy_drop_per_rd,td_def_drop_per_rd,degradation_score
Yoshihiro Akiyama,0.8888888888888888,0.0,0.5,0.0,0.5,4.583333333333333,0.023423721024052647,0.025000000000000133,0.1038
Takanori Gomi,0.5897435897435896,0.0,0.125,1.0,0.875,4.249999999999998,0.05970215548340548,0.02999999999999998,0.1334
Riki Fukuda,0.8666666666666666,0.0,0.0,0.0,0.0,4.8000000000000025,-0.016772128024162513,0.0,0.1102
Anthony Perosh,0.4444444444444444,0.0,0.0,1.0,1.0,3.6249999999999996,0.22635327635327626,0.0,0.4188
Mackens Semerzier,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Oli Thompson,0.6666666666666666,0.0,0.0,0.0,1.0,-4.5,-0.1465757850739702,0.0,-0.2923
Francis Carmont,0.8148148148148148,0.0,0.0,1.0,1.0,1.8125000000000004,0.07606560556869003,0.20833333333333323,0.1614
Jason Young,0.8333333333333333,0.0,0.0,0.0,1.0,-4.666666666666663,-0.04349459764554096,0.10952380952380954,-0.0811
Papy Abedi,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,-2.7499999999999964,0.048171082949308844,0.08333333333333351,0.0265
Reza Madadi,0.9523809523809524,0.6666666666666666,0.0,0.3333333333333333,0.0,3.1428571428571437,0.05884811608277357,-0.07499999999999976,0.0844
Simeon Thoresen,0.6666666666666666,0.0,0.0,1.0,1.0,-10.249999999999996,-0.025277863538129053,0.0,-0.262
Keith Wisniewski,0.8888888888888888,0.0,0.0,0.0,1.0,-3.2499999999999982,-0.024767613852740678,0.0,-0.0936
John Dodson,0.8039215686274509,0.1666666666666666,0.0,0.8333333333333334,0.0,1.4285714285714288,-0.0006024768138895248,0.0966666666666665,0.052
Dennis Bermudez,0.8156862745098039,0.3333333333333333,0.25,0.6666666666666666,0.75,0.9230769230769238,-0.0143946053646806,0.21666666666666667,0.0661
Alex Soto,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rafael Dos Anjos,0.7791666666666667,0.1111111111111111,0.5,0.8888888888888888,0.5,-0.7689655172413784,0.011524226546332842,-0.01346153846153844,-0.0039
Jeff Curran,1.0,0.0,0.0,0.0,0.0,4.666666666666666,-0.057173147965986805,0.0,0.0511
Jason Miller,0.8,0.0,1.0,0.0,0.0,-3.9999999999999964,-0.041052918712493135,0.0,-0.1341
Max Holloway,0.8187500000000001,0.6923076923076923,0.5,0.3076923076923077,0.5,5.546428571428573,0.03754262430051043,0.009848484848484846,0.1278
Justin Lawrence,0.6666666666666666,1.0,0.0,0.0,1.0,-2.2500000000000004,0.021675533825082048,0.0,-0.0053
Michael Chiesa,0.6545454545454544,0.1111111111111111,0.0,0.8888888888888888,1.0,-2.7437499999999977,-0.009470775166535161,0.18761904761904752,0.0037
Myles Jury,0.6944444444444443,0.0,0.0,1.0,1.0,-0.8571428571428553,0.011122121592135088,0.0,0.0134
Cristiano Marcello,0.9166666666666666,0.0,0.0,0.0,1.0,7.249999999999998,0.04999493728492224,0.0,0.2614
Joe Proctor,0.625,0.3333333333333333,0.0,0.6666666666666666,1.0,5.124999999999998,0.025266235157235556,0.19444444444444442,0.1634
John Albert,0.3999999999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Daron Cruickshank,0.7777777777777778,0.0,0.25,1.0,0.75,-6.090909090909088,0.032146743788200594,1.1102230246251565e-16,-0.0659
Demetrious Johnson,0.8470588235294118,0.5714285714285714,0.0,0.4285714285714285,0.0,0.19375000000000098,0.01789410640181478,0.040333333333333304,0.033
Eddie Wineland,0.6708333333333334,0.25,0.0,0.75,1.0,3.7727272727272703,0.009114463790713519,0.18749999999999997,0.1249
Jake Hecht,0.6666666666666666,0.0,0.0,1.0,1.0,10.749999999999998,0.0637148419296161,0.9999999999999994,0.523
Henry Martinez,0.8888888888888888,0.0,0.0,0.0,1.0,-4.666666666666664,-0.017229681657993785,0.0,-0.1171
Buddy Roberts,0.8333333333333333,0.0,0.0,0.0,1.0,-3.9999999999999982,-0.11305256869772994,-0.4999999999999999,-0.312
Seth Baczynski,0.6969696969696969,0.0,0.0,1.0,1.0,-3.214285714285712,0.03574163122953111,-0.17708333333333295,-0.0681
Gray Maynard,0.8,0.0,0.2,0.0,0.8,-2.135294117647057,0.06144476829046576,-0.1713333333333332,-0.0255
Nick Catone,0.75,0.0,0.5,0.0,0.5,-5.7499999999999964,-0.05181355514308545,0.08749999999999987,-0.1125
Cezar Ferreira,0.7388888888888888,0.0,0.0,1.0,1.0,-2.299999999999998,-0.02034107740742907,0.11111111111111123,-0.0215
Godofredo Pepey,0.553030303030303,0.0,0.0,1.0,1.0,0.12500000000000216,-0.02090556251740459,-0.16666666666666666,-0.0641
Fabricio Werdum,0.6571428571428571,0.2,0.5,0.8,0.5,1.2583333333333346,-0.024353022381090328,-0.24999999999999983,-0.0734
Delson Heleno,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
John Teixeira,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Perpetuo,0.5555555555555555,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marcos Vinicius,0.8888888888888888,1.0,0.5,0.0,0.5,1.3333333333333333,0.027039627039627076,0.0,0.0879
Anistavio Medeiros,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cung Le,0.6666666666666666,0.0,0.5,1.0,0.5,-1.7999999999999985,0.020257950257950224,0.0,0.0035
John Alessio,1.0,0.0,0.0,0.0,0.0,0.3000000000000004,0.04106468814916149,-0.049999999999999926,0.0298
Rafaello Oliveira,0.7222222222222222,0.0,0.0,0.0,1.0,-3.4285714285714266,-0.0036727845410445725,0.0,-0.0687
Karlos Vemola,0.7222222222222222,0.0,0.0,1.0,1.0,-8.124999999999996,0.0007751838108980696,-0.37499999999999983,-0.2364
Damacio Page,0.5555555555555555,0.0,0.0,0.0,1.0,-3.0000000000000004,0.1526695526695525,0.0,0.1581
Marcelo Guimaraes,0.8333333333333333,0.0,0.0,0.0,1.0,2.249999999999999,-0.04432221634546112,0.0,0.011
